"fishery_unit_id","country","region","trip","distance","commitment","labour","utilization","economy","disposal","ownership","size","motorization","mechanization","gear","refrigeration","total_char"
"Africa_fishery_unit1","Country26","Africa",0,1,3,3,1,2,2,0,1,0,0,3,0,"16"
"Africa_fishery_unit2","Country26","Africa",0,1,3,3,1,2,2,0,1,0,0,3,0,"16"
"Africa_fishery_unit3","Country26","Africa",0,1,3,2,0,2,2,0,1,0,0,0,0,"11"
"Africa_fishery_unit4","Country26","Africa",1,1,3,3,1,2,2,0,1,0,0,0,0,"14"
"Africa_fishery_unit5","Country26","Africa",2,1,3,3,1,2,2,0,1,1,0,0,1,"17"
"Africa_fishery_unit6","Country26","Africa",2,1,3,3,1,2,2,2,1,1,0,0,1,"19"
"Africa_fishery_unit7","Country26","Africa",0,1,3,2,0,2,2,0,1,0,0,1,0,"12"
"Africa_fishery_unit8","Country26","Africa",1,1,3,2,1,2,2,0,1,1,0,1,0,"15"
"Africa_fishery_unit9","Country26","Africa",2,1,3,2,1,2,2,0,1,1,0,1,1,"17"
"Africa_fishery_unit10","Country26","Africa",1,1,3,3,1,2,2,2,1,1,0,1,0,"18"
"Africa_fishery_unit11","Country26","Africa",1,1,3,3,1,2,2,2,1,1,0,1,0,"18"
"Africa_fishery_unit12","Country26","Africa",1,1,3,3,1,2,2,2,1,1,0,3,0,"20"
"Africa_fishery_unit13","Country26","Africa",0,0,3,0,3,2,2,0,0,0,0,0,0,"10"
"Africa_fishery_unit14","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit15","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit16","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit17","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit18","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit19","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit20","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit21","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit22","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit23","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit24","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit25","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit26","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit27","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit28","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
"Africa_fishery_unit29","Country21","Africa",0,0,3,1,1,1,1,0,0,0,0,0,0,"7"
