total_marine_char,country,region,characterized_catch_2017,characterized_catch_2016,characterized_catch_2015,characterized_catch_2014,characterized_catch_2013
1,Argentina,Americas,3500,NA,NA,NA,NA
2,Argentina,Americas,105.346,NA,NA,NA,NA
3,Argentina,Americas,7.225,NA,NA,NA,NA
4,Argentina,Americas,0.7,NA,NA,NA,NA
7,Argentina,Americas,541.105,NA,NA,NA,NA
8,Argentina,Americas,107.58,NA,NA,NA,NA
9,Argentina,Americas,43.2,NA,NA,NA,NA
10,Argentina,Americas,88.5,NA,NA,NA,NA
12,Argentina,Americas,783.192,NA,NA,NA,NA
13,Argentina,Americas,5.239,NA,NA,NA,NA
14,Argentina,Americas,1069.43206,NA,NA,NA,NA
16,Argentina,Americas,1421.133551,NA,NA,NA,NA
17,Argentina,Americas,221.895,NA,NA,NA,NA
18,Argentina,Americas,1.8,NA,NA,NA,NA
20,Argentina,Americas,596.06,NA,NA,NA,NA
21,Argentina,Americas,80.9,NA,NA,NA,NA
22,Argentina,Americas,1251.514,NA,NA,NA,NA
23,Argentina,Americas,105.03,NA,NA,NA,NA
25,Argentina,Americas,176.2,NA,NA,NA,NA
27,Argentina,Americas,909.2,NA,NA,NA,NA
28,Argentina,Americas,2318.86,NA,NA,NA,NA
30,Argentina,Americas,7075.4,NA,NA,NA,NA
12,Bangladesh,Asia,34268.4,32937.6,31027.3,30678.2,35072.9
14,Bangladesh,Asia,309321.4,299574.2,312597.2,291723.7,279848.2
18,Bangladesh,Asia,268150,266350,244500,245650,250265
5,Barbados,Americas,274.56575,341.19685,276.74365,256.99465,238.1859
10,Barbados,Americas,22.3442,25.1348,21.1416,23.9974,34.2426
20,Barbados,Americas,983.3629,852.8816,729.0966,1511.2307,2259.0237
28,Barbados,Americas,326.6841,394.4513,354.8353,278.5271,265.8659
12,Chile,Americas,6899.31,5582.27,4620.45,4396.24,3892
15,Chile,Americas,6592.06,5036.08,4471.46,3771.56,5004.65
16,Chile,Americas,21531.38,21033.44,18657.33,19770.92,18596.15
17,Chile,Americas,18190.41,17411.45,15831.04,16889.75,16091.14
18,Chile,Americas,88149.59,122946.81,100113.56,108405.66,83225.93
19,Chile,Americas,75610.35,70663.09,69955.73,66041.73,49060.4
20,Chile,Americas,12529.41,10449.09,8825.68,9221.45,9464.94
21,Chile,Americas,18488.31,21518.62,18278.24,23193.19,18134.78
23,Chile,Americas,102.27,414.37,1348.94,2881.24,1571.11
24,Chile,Americas,19579.33,14393.73,13403.64,23884.68,13916.4
26,Chile,Americas,734220.39,488673.21,667850.65,796214.59,481894.74
9,China,Asia,16414,17156,17715,18006,13536
10,China,Asia,1572552,1698671,1765005,1751744,1628596
11,China,Asia,1369131.621,1552101.111,1603131.496,1558945.084,1551383.869
12,China,Asia,112980,133642,129585,126577,123764
13,China,Asia,2637001.277,2867446.672,3310391.735,3199532.124,3225157.598
15,China,Asia,77242,81641,85980,86249,77659
19,China,Asia,24641,26135,28227,28132,47542
32,Congo,Africa,7473.4,8028.8,9051.7,9226.5,5916.7
23,Congo DR,Africa,14668.13,NA,NA,NA,NA
17,Egypt,Africa,14108,13967.5,14823,14103.5,15699.5
21,Egypt,Africa,17264.3,16074.6,16596.25,18892.3,18998
0,Fiji,Oceania,869,846,823,801,777
1,Fiji,Oceania,69.03,67.4,65.78,63.9,62.28
2,Fiji,Oceania,98.1,97.6,97.1,96.6,96.1
3,Fiji,Oceania,NA,NA,NA,NA,191
4,Fiji,Oceania,92,89.8,87.8,85.5,83.3
6,Fiji,Oceania,667.52,653,517,501,486
13,Fiji,Oceania,1620,1594,1569,1543,1518
14,Fiji,Oceania,2293,2257,2221,2178,2142
15,Fiji,Oceania,673.5,663,652.5,635,624.5
18,Fiji,Oceania,95.48,95.5,NA,NA,NA
19,Fiji,Oceania,50,50,50,50,50
21,Fiji,Oceania,NA,NA,NA,NA,131
16,Gabon,Africa,NA,NA,70.176,NA,NA
19,Gabon,Africa,108.92056,71.06269,NA,NA,NA
23,Gabon,Africa,108.14678,58.48426,NA,NA,NA
18,Gambia,Africa,38013.4,36042.2,33715,30717.6,24852.1
19,Gambia,Africa,479.9,337.5,396.4,12.6,105.1
21,Gambia,Africa,385.1,51.4,48.3,101.2,616.8
24,Gambia,Africa,5340.2,10649.7,8493.9,9205.8,10127.5
18,Greenland,Americas,NA,NA,0.347,NA,0.17
19,Greenland,Americas,42258.07586,43750.182,36543.10147,32749.08235,31448.04311
21,Greenland,Americas,14.9045,NA,2.4835,NA,NA
18,Guinea,Africa,176810.93,51422.91,75751.76,85971.48,95023.5
21,Guinea,Africa,26586.14,1992.39,5053.7,7646.26,11739.1
24,Guinea,Africa,26906.3,11825.92,10294.76,11640.94,12775.4
18,Guinea Bissau,Africa,NA,NA,NA,220.078,NA
21,Guinea Bissau,Africa,NA,NA,NA,0.1299,NA
24,Guinea Bissau,Africa,NA,NA,NA,246.9069,NA
3,India,Asia,32772.742,NA,90962.3,127553.1,106492
5,India,Asia,NA,NA,17075.214,14765.359,7360
7,India,Asia,NA,NA,243,NA,NA
10,India,Asia,14175.601,23974.021,70982.585,2714.474,1911.168
11,India,Asia,255938.6464,142186.8649,245016.4942,268251.2742,236029.1977
13,Indonesia,Asia,10489.49458,9250.502661,9171.72301,10118.25328,9229.026521
22,Indonesia,Asia,889366.6027,846759.6386,839528.5597,926168.681,909087.9766
27,Indonesia,Asia,30712.69187,28727.55236,26665.42464,27489.8342,25743.39766
28,Indonesia,Asia,101033.6782,99913.67752,96977.31505,106985.4572,102980.3925
31,Indonesia,Asia,95705.10106,82582.95979,101139.3181,111575.7061,110347.3464
33,Indonesia,Asia,267040.7136,247690.5809,249580.8693,275337.8451,255527.3744
19,Iran,Asia,94178,78169,65737,65560,50206
25,Iran,Asia,331666,278844,273860,281930,242022
26,Iran,Asia,203045,188348,160311,145783,118341
3,Kenya,Africa,126.0190649,140,213,93,223
4,Kenya,Africa,1233.726711,1269,846,1231,540
6,Kenya,Africa,148.2202073,163,145,135,274
8,Kenya,Africa,200.0518135,220,213,170,365
9,Kenya,Africa,903.9324921,955,1075,1154,413
10,Kenya,Africa,859.4282209,884,923,655,391
11,Kenya,Africa,4087.216612,4357,3320,4117,1240
12,Kenya,Africa,2586.062294,2660,2900,3728,1027
13,Kenya,Africa,1054.841199,1085,1183,854,478
14,Kenya,Africa,1902.602973,1957,2197,3653,850
15,Kenya,Africa,2682.310477,2759,2313,1682,274
16,Kenya,Africa,2011.489807,2069,1427,1492,442
17,Kenya,Africa,442.3527607,455,285,48,49
19,Kenya,Africa,1004.286597,1033,1236,1312,314
20,Kenya,Africa,1748.022558,1798,1215,522,328
19,Liberia,Africa,3919.9,2705.9,2434,2370,2751
7,Madagascar,Africa,6790.38856,3781.4535,9045.53357,7437.8684,10205.5698
8,Madagascar,Africa,20.3414,NA,NA,NA,NA
9,Madagascar,Africa,43909.96105,42465.39225,61619.8189,36673.688,52234.7275
5,Maldives,Asia,104.1,72.7,760.6,450.9,748.7
9,Maldives,Asia,11558.77,11256.47,8668.67,7977.51,7143.31
19,Maldives,Asia,797.72,798.78,861.24,846.61,634.08
26,Maldives,Asia,30895.8,46497.5,38895.4,32255.2,28148.6
29,Maldives,Asia,106908.9,78239.93,85256.3,87436.7,93077.9
30,Maldives,Asia,2536,1841,469,3324,2759
11,Mauritania,Africa,4016,3402,3689,2520,2568
12,Mauritania,Africa,46459,50345,35058,37237,19091
14,Mauritania,Africa,1548,16412,14220,188,13215
15,Mauritania,Africa,227689,52573,4059,66,3
16,Mauritania,Africa,312926,341502,282873,264104,291672
21,Mauritania,Africa,14127,25106,11423,19252,5928
10,Mexico,Americas,NA,220.9,120.477,97.46507143,56.76576923
13,Mexico,Americas,NA,153.354,433.733,814.476,2076.746167
14,Mexico,Americas,NA,22252.65211,20132.33745,22438.19568,21260.7902
15,Mexico,Americas,NA,32671.36725,26670.68052,27098.9021,29773.1115
16,Mexico,Americas,NA,19128.59483,19222.4148,35114.91029,30009.36081
17,Mexico,Americas,NA,76328.31913,82799.42916,72708.47267,66714.52067
18,Mexico,Americas,NA,116337.9454,106244.7336,90291.25718,83936.09302
19,Mexico,Americas,NA,14416.07548,13202.97928,11147.6666,12303.10058
20,Mexico,Americas,NA,9392.666941,6850.370692,6400.5358,6720.52408
21,Mexico,Americas,NA,869.9243211,507.8819571,1230.559154,1337.181456
22,Mexico,Americas,NA,4270.77244,4247.440414,5134.762039,6127.220058
23,Mexico,Americas,NA,6959.449112,5633.94518,4169.985674,5022.861344
24,Mexico,Americas,NA,288.7002758,320.706547,345.2000832,393.3465087
16,Morocco,Africa,1025,1284,516,2112,2133
17,Morocco,Africa,4546,3142,2926,4246,2852
19,Morocco,Africa,30886,27886,31374,24387,25731
20,Morocco,Africa,42983,29679,37397,46750,32334
10,Mozambique,Africa,3562,NA,NA,NA,NA
11,Mozambique,Africa,11695,NA,NA,NA,NA
12,Mozambique,Africa,18055,NA,NA,NA,NA
14,Mozambique,Africa,2922,NA,NA,NA,NA
15,Mozambique,Africa,9338.245056,NA,NA,NA,NA
16,Mozambique,Africa,67764,NA,NA,NA,NA
17,Mozambique,Africa,8130,NA,NA,NA,NA
18,Mozambique,Africa,15949,NA,NA,NA,NA
19,Mozambique,Africa,7986.154176,NA,NA,NA,NA
20,Mozambique,Africa,2351,NA,NA,NA,NA
12,Nigeria,Africa,508834,396120,382964,435384,420588
6,Norway,Europe,46000,46000,46000,46000,46000
8,Norway,Europe,2183.1124,2116.9936,1607.5044,1716.9845,1344.8577
23,Norway,Europe,7712.9774,8511.5279,7464.6269,6911.4282,7134.4666
24,Norway,Europe,157897.1631,157244.0542,170426.6414,193263.2576,168796.2024
26,Norway,Europe,3339.4868,4076.5296,3999.6803,3542.5463,3292.1804
27,Norway,Europe,54558.755,50208.5429,49939.5264,50675.0129,48991.9418
7,Peru,Americas,224,245,362,381,582
14,Peru,Americas,7258.981724,9235.667716,9819.900644,10004.04524,13207.01874
15,Peru,Americas,8338.81,9608.56,9270.25949,10685.34338,9383.13271
16,Peru,Americas,7512,10057,9951,9052,7940
